longitude,latitude,location,detections,recordings
-134.710111,60.232478,YTHEMP-YSL-247779-H4,7,3
-134.721107,60.234984,YTHEMP-YSL-247779-L1,3,3
-134.70311,60.23836,YTHEMP-YSL-248350-S4,3,3
-134.74905,60.44973,YTHEMP-YSL-254641-S1,21,14
-134.74318,60.45095,YTHEMP-YSL-254641-S2,11,8
-134.74604,60.45328,YTHEMP-YSL-254641-S4,4,4
-135.093843,60.557105,YTHEMP-YSL-258689-S3,1,1
-135.069651,60.595357,YTHEMP-YSL-259270-H3,10,10
-135.026367,60.601609,YTHEMP-YSL-259852-L2,1,1
-135.28814,60.63381,YTHEMP-YSL-261611-S5,1,1
-135.27618,60.62567,YTHEMP-YSL-261611-S9,2,2
-135.287314,60.642081,YTHEMP-YSL-262198-S2,1,1
-135.501419,60.758676,YTHEMP-YSL-266343-H3,4,4
-135.50805,60.76292,YTHEMP-YSL-266343-S1,3,3
-135.518418,60.763676,YTHEMP-YSL-266936-S2,5,4
-135.51371,60.76252,YTHEMP-YSL-266936-S3,16,11
-135.985927,60.857159,YTHEMP-YSL-271089-S1,7,7
-135.981025,60.862688,YTHEMP-YSL-271089-S2,1,1
-136.964837,60.862235,YTHEMP-YSL-275865-H1,31,15
-136.959722,60.865112,YTHEMP-YSL-275865-H2,19,12
-136.96011,60.8678,YTHEMP-YSL-275865-H5,2,1
-134.5882,60.06024,YTHEMP-BMP-242679-L4,3,3
-138.59494,61.02057,YTHEMP-SEM-288569-H4,2,1
-138.598286,61.025188,YTHEMP-SEM-289781-S2,17,11
-138.58936,61.02701,YTHEMP-SEM-289781-S3,1,1
-135.060212,60.546989,YTHEMP-YSL-258111-S1,4,3
-135.974913,60.857455,YTHEMP-YSL-271089-S3,15,11
-138.59555,61.02762,YTHEMP-SEM-289781-S4,4,4
-135.127496,60.20534,YTHEMP-YSH-248916-D5,6,5
-135.127272,60.202645,YTHEMP-YSH-248916-D7,2,2
-135.072453,60.56293,YTHEMP-YSL-259270-D5,2,2
-135.518679,60.766367,YTHEMP-YSL-266936-D7,12,6
-135.500899,60.753293,YTHEMP-YSL-266343-D17,1,1
-135.52344,60.76774,YTHEMP-YSL-266936-S2A,8,5
-134.598746,60.053042,YTHEMP-BMP-242679-D19,1,1
-134.64535,60.00812,YTHEMP-BMP-241550-L1,2,2
-138.515476,61.029043,YTHEMP-SEM-289176-D16,2,2
-135.079798,60.217113,YTHEMP-YSH-249486-D8,14,6
-135.07396,60.211834,YTHEMP-YSH-249486-D11,1,1
-135.529928,60.768802,YTHEMP-YSL-266936-D9,4,3
-134.731112,60.453331,YTHEMP-YSL-254641-D10,7,6
-134.762981,60.441982,YTHEMP-YSL-254064-D19,3,3
-134.74057,60.45359,YTHEMP-YSL-254641-T4,1,1
-135.982237,60.873449,YTHEMP-YSL-272275-D7,1,1
-136.949102,60.868178,YTHEMP-YSL-275865-D15,3,3
-137.07975,60.448614,YTHEMP-RUR-265140-D16,7,6
-137.07626,60.45112,YTHEMP-RUR-265140-H3A,2,2
-137.08186,60.45128,YTHEMP-RUR-265140-H4A,7,5
-135.971216,60.873745,YTHEMP-YSL-272275-D5,1,1
-137.085535,60.447143,YTHEMP-RUR-265140-S4A,2,2
-135.501159,60.755984,YTHEMP-YSL-266343-D18,8,4
-135.501419,60.758676,YTHEMP-YSL-266343-S1A,4,4
-137.07626,60.45112,YTHEMP-RUR-265140-H5,2,2
-137.07975,60.448614,YTHEMP-RUR-265140-H7,6,5
-135.971216,60.873745,YTHEMP-YSL-272275-S4,1,1
-135.982237,60.873449,YTHEMP-YSL-272275-S5,1,1
-135.07396,60.211834,YTHEMP-YSH-249486-H7,4,4
-135.027872,60.22617,YTHEMP-YSH-248917-S6,3,3
-135.053917,60.603763,YTHEMP-YSL-259852-H5,1,1
-135.09147,60.57634,YTHEMP-YSL-259270-S4,1,1
-135.072453,60.56293,YTHEMP-YSL-259270-S5,1,1
-134.762981,60.441982,YTHEMP-YSL-254064-H5,3,3
-135.427393,60.844284,YTHEMP-YSL-268123-L2,2,2
-135.421598,60.837838,YTHEMP-YSL-268123-L4,1,1
-135.415773,60.837651,YTHEMP-YSL-268123-L5,1,1
-135.538459,60.793096,YTHEMP-YSL-268122-S2,2,2
-135.529783,60.790553,YTHEMP-YSL-267530-S4,1,1
