longitude,latitude,location,detections,recordings
-137.07727,60.45186,YTHEMP-RUR-265140-S8,1,1
-136.932976,60.871431,YTHEMP-RUR-276468-S1,3,3
-136.91873,60.87285,YTHEMP-RUR-276468-T2,3,3
-138.586714,61.023024,YTHEMP-SEM-288569-S1,2,2
-138.58052,61.02552,YTHEMP-SEM-288569-T1,2,2
-134.61851,60.06183,YTHEMP-YSH-243244-H3,1,1
-134.65589,60.0456,YTHEMP-YSH-242678-T2,7,5
-134.61334,60.05665,YTHEMP-YSH-243244-S2,4,3
-134.61755,60.05494,YTHEMP-YSH-243244-S4,28,15
-134.62287,60.05582,YTHEMP-YSH-243244-S5,32,16
-135.12992,60.20769,YTHEMP-YSH-248916-S2,13,10
-135.14116,60.2117,YTHEMP-YSH-248916-T1,2,2
-135.14953,60.20787,YTHEMP-YSH-248916-T2,10,8
-135.143462,60.202309,YTHEMP-YSH-248916-T3,6,5
-135.160105,60.207359,YTHEMP-YSH-248916-T4,1,1
-135.02671,60.22342,YTHEMP-YSH-248917-S1,5,4
-135.036602,60.217984,YTHEMP-YSH-248917-S2,6,6
-135.02658,60.21699,YTHEMP-YSH-248917-S3,2,2
-135.04609,60.22708,YTHEMP-YSH-249486-T3,1,1
-134.700055,60.243445,YTHEMP-YSL-248350-S2,2,2
-134.70241,60.24101,YTHEMP-YSL-248350-S3,1,1
-134.74905,60.44973,YTHEMP-YSL-254641-S1,8,8
-134.74318,60.45095,YTHEMP-YSL-254641-S2,15,12
-134.74604,60.45328,YTHEMP-YSL-254641-S4,13,9
-134.73916,60.45613,YTHEMP-YSL-254641-T3,11,10
-135.049958,60.555286,YTHEMP-YSL-258111-T4,1,1
-135.050617,60.563366,YTHEMP-YSL-259270-T1,2,2
-135.050397,60.560673,YTHEMP-YSL-259270-T3,1,1
-135.518418,60.763676,YTHEMP-YSL-266936-S2,7,4
-135.51371,60.76252,YTHEMP-YSL-266936-S3,2,2
-135.552167,60.770977,YTHEMP-YSL-266936-T3,5,4
-135.51877,60.76176,YTHEMP-YSL-266936-T5,1,1
-135.981025,60.862688,YTHEMP-YSL-271089-S2,14,11
-135.987443,60.870611,YTHEMP-YSL-272275-T1,15,11
-135.987747,60.873301,YTHEMP-YSL-272275-T2,2,2
-135.993561,60.875843,YTHEMP-YSL-272275-T5,1,1
-136.95404,60.87256,YTHEMP-YSL-277072-H6,2,2
-136.94666,60.87388,YTHEMP-YSL-277072-H7,8,5
-136.94393,60.87858,YTHEMP-YSL-277072-H8,5,3
-138.58936,61.02701,YTHEMP-SEM-289781-S3,1,1
-134.64493,60.045,YTHEMP-YSH-242678-S6,12,4
-134.65038,60.04548,YTHEMP-YSH-242678-T1,15,8
-134.630526,60.050049,YTHEMP-YSH-243244-S3,41,16
-135.132893,60.205228,YTHEMP-YSH-248916-S1,13,9
-135.14796,60.20015,YTHEMP-YSH-248916-T5,3,3
-135.14667,60.21092,YTHEMP-YSH-248916-T6,1,1
-135.053236,60.223048,YTHEMP-YSH-249486-T4,3,3
-138.59555,61.02762,YTHEMP-SEM-289781-S4,3,3
-136.966002,60.870298,YTHEMP-YSL-277072-H3,1,1
-135.1426,60.199231,YTHEMP-YSH-248916-S3,8,7
-135.127496,60.20534,YTHEMP-YSH-248916-D5,6,5
-135.127272,60.202645,YTHEMP-YSH-248916-D7,5,4
-135.117593,60.21634,YTHEMP-YSH-248916-H1,1,1
-135.05421,60.55351,YTHEMP-YSL-258111-T5,1,1
-135.518679,60.766367,YTHEMP-YSL-266936-D7,2,2
-135.52344,60.76774,YTHEMP-YSL-266936-S2A,5,5
-134.635717,60.047263,YTHEMP-BMP-242114-D11,16,6
-134.614686,60.050077,YTHEMP-BMP-242114-D12,4,3
-134.619193,60.047489,YTHEMP-BMP-242114-D21,9,5
-134.61334,60.05665,YTHEMP-YSH-243244-H4,7,5
-134.63919,60.04538,YTHEMP-BMP-242114-T3,27,11
-138.59494,61.02057,YTHEMP-SEM-288569-S5,1,1
-135.047618,60.220462,YTHEMP-YSH-249486-T2,1,1
-135.529928,60.768802,YTHEMP-YSL-266936-D9,7,5
-134.731112,60.453331,YTHEMP-YSL-254641-D10,6,5
-134.73858,60.45908,YTHEMP-YSL-254641-T2,7,6
-134.74057,60.45359,YTHEMP-YSL-254641-T4,7,6
-135.982237,60.873449,YTHEMP-YSL-272275-D7,15,6
-136.93298,60.87143,YTHEMP-YSL-276468-S1,10,6
-136.95404,60.87256,YTHEMP-YSL-277072-S2,4,3
-136.94666,60.87388,YTHEMP-YSL-277072-S3,16,10
-136.94393,60.87858,YTHEMP-YSL-277072-S4,6,5
-136.91873,60.87285,YTHEMP-YSL-276468-T2,6,3
-136.92328,60.87452,YTHEMP-YSL-276468-T3,1,1
-136.92928,60.87483,YTHEMP-YSL-276468-T4,5,4
-137.08186,60.45128,YTHEMP-RUR-265140-H4A,4,3
-137.09647,60.44474,YTHEMP-RUR-265140-T1,9,7
-137.10564,60.44765,YTHEMP-RUR-265140-T2,1,1
-135.971216,60.873745,YTHEMP-YSL-272275-D5,5,3
-137.085535,60.447143,YTHEMP-RUR-265140-S4A,1,1
-134.64493,60.045,YTHEMP-YSH-242678-T4,29,12
-137.101955,60.444657,YTHEMP-RUR-265140-T4,1,1
-137.107999,60.444786,YTHEMP-RUR-265140-T5,1,1
-135.971216,60.873745,YTHEMP-YSL-272275-S4,2,2
-135.982237,60.873449,YTHEMP-YSL-272275-S5,12,5
-135.027872,60.22617,YTHEMP-YSH-248917-S6,1,1
-135.127496,60.20534,YTHEMP-YSH-248916-S4,10,6
-135.127272,60.202645,YTHEMP-YSH-248916-S5,20,6
-134.742415,60.461312,YTHEMP-YSL-254641-T6,2,1
-134.614686,60.050077,YTHEMP-BMP-242114-S7,3,2
-134.619193,60.047489,YTHEMP-BMP-242114-S8,4,3
-134.635717,60.047263,YTHEMP-BMP-242114-T5,9,4
-135.538459,60.793096,YTHEMP-YSL-268122-S2,3,3
-135.551463,60.785436,YTHEMP-YSL-266936-T7,8,4
-135.554534,60.779378,YTHEMP-YSL-266936-T8,9,6
-135.548766,60.787811,YTHEMP-YSL-266936-T10,8,5
