longitude,latitude,location,detections,recordings
-136.959722,60.865112,YTHEMP-YSL-275865-H2,9,7
-136.96011,60.8678,YTHEMP-YSL-275865-H5,9,5
-136.96639,60.872985,YTHEMP-YSL-277072-H4,2,2
-134.5882,60.06024,YTHEMP-BMP-242679-L4,1,1
-138.59494,61.02057,YTHEMP-SEM-288569-H4,1,1
-138.58936,61.02701,YTHEMP-SEM-289781-S3,2,2
-134.60435,60.05897,YTHEMP-YSH-243244-H1,2,2
-135.132893,60.205228,YTHEMP-YSH-248916-S1,3,3
-135.090597,60.216894,YTHEMP-YSH-249486-H2,6,4
-134.74057,60.45359,YTHEMP-YSL-254641-S3,1,1
-135.060212,60.546989,YTHEMP-YSL-258111-S1,2,2
-135.974913,60.857455,YTHEMP-YSL-271089-S3,7,7
-138.59555,61.02762,YTHEMP-SEM-289781-S4,3,3
-136.966002,60.870298,YTHEMP-YSL-277072-H3,5,5
-135.112416,60.219145,YTHEMP-YSH-249486-H4,2,2
-134.609572,60.058497,YTHEMP-YSH-243244-H2,1,1
-135.117593,60.21634,YTHEMP-YSH-248916-H1,1,1
-135.053917,60.603763,YTHEMP-YSL-259852-D11,2,2
-135.518679,60.766367,YTHEMP-YSL-266936-D7,1,1
-135.500899,60.753293,YTHEMP-YSL-266343-D17,4,3
-135.52344,60.76774,YTHEMP-YSL-266936-S2A,1,1
-135.5384,60.76456,YTHEMP-YSL-266936-T4A,1,1
-134.614686,60.050077,YTHEMP-BMP-242114-D12,3,3
-134.61334,60.05665,YTHEMP-YSH-243244-H4,4,4
-138.515476,61.029043,YTHEMP-SEM-289176-D16,2,2
-138.514425,61.023679,YTHEMP-SEM-289176-D21,2,2
-138.58084,61.00264,YTHEMP-SEM-288569-L2,1,1
-138.59494,61.02057,YTHEMP-SEM-288569-S5,2,2
-138.56729,61.02359,YTHEMP-SEM-288569-T4,1,1
-138.57347,61.02391,YTHEMP-SEM-288569-T5,1,1
-135.079798,60.217113,YTHEMP-YSH-249486-D8,2,1
-135.07396,60.211834,YTHEMP-YSH-249486-D11,3,3
-134.731112,60.453331,YTHEMP-YSL-254641-D10,3,3
-134.762981,60.441982,YTHEMP-YSL-254064-D19,5,5
-134.77425,60.447177,YTHEMP-YSL-254064-H3,2,2
-134.757154,60.436689,YTHEMP-YSL-254064-H4,1,1
-134.812726,60.451882,YTHEMP-YSL-254064-L2,1,1
-134.73641,60.46164,YTHEMP-YSL-254641-T1,6,5
-134.74057,60.45359,YTHEMP-YSL-254641-T4,5,5
-136.949102,60.868178,YTHEMP-YSL-275865-D15,1,1
-136.963285,60.851484,YTHEMP-YSL-275865-L3,3,3
-136.986068,60.856099,YTHEMP-YSL-275865-L4,2,2
-136.95404,60.87256,YTHEMP-YSL-277072-S2,2,2
-136.94666,60.87388,YTHEMP-YSL-277072-S3,2,2
-137.07975,60.448614,YTHEMP-RUR-265140-D16,1,1
-137.08186,60.45128,YTHEMP-RUR-265140-H4A,4,4
-137.09647,60.44474,YTHEMP-RUR-265140-T1,3,3
-137.10564,60.44765,YTHEMP-RUR-265140-T2,6,6
-135.971216,60.873745,YTHEMP-YSL-272275-D5,2,1
-137.085535,60.447143,YTHEMP-RUR-265140-S4A,1,1
-135.489917,60.753547,YTHEMP-YSL-266343-D16,6,5
-135.501159,60.755984,YTHEMP-YSL-266343-D18,5,4
-135.999406,60.829811,YTHEMP-YSL-270495-D11,1,1
-135.97891,60.84386,YTHEMP-YSL-271089-H2,2,2
-135.102061,60.224756,YTHEMP-YSH-249486-H3,4,4
-134.731304,60.46147,YTHEMP-YSL-254641-D7A,3,2
-135.50805,60.76292,YTHEMP-YSL-266343-H3A,2,2
-135.501419,60.758676,YTHEMP-YSL-266343-S1A,3,3
-137.07626,60.45112,YTHEMP-RUR-265140-H5,1,1
-137.085535,60.447143,YTHEMP-RUR-265140-S7,2,2
-137.101955,60.444657,YTHEMP-RUR-265140-T4,2,2
-137.107999,60.444786,YTHEMP-RUR-265140-T5,3,2
-137.113692,60.446223,YTHEMP-RUR-265140-T6,1,1
-138.5914,61.01249,YTHEMP-SEM-288569-H1,1,1
-138.50721,61.033516,YTHEMP-SEM-289176-H7,1,1
-138.503524,61.03655,YTHEMP-SEM-289176-L3,1,1
-135.07396,60.211834,YTHEMP-YSH-249486-H7,1,1
-135.123236,60.235149,YTHEMP-YSH-250056-L7,1,1
-136.958378,60.870649,YTHEMP-YSL-275865-S6,3,3
-134.762981,60.441982,YTHEMP-YSL-254064-H5,4,4
-134.75466,60.443306,YTHEMP-YSL-254064-S7,4,4
-134.742415,60.461312,YTHEMP-YSL-254641-T6,3,3
-134.614686,60.050077,YTHEMP-BMP-242114-S7,1,1
-138.514425,61.023679,YTHEMP-SEM-289176-H6,1,1
